size_bhk,total_sqft,bath,balcony,furnishing,building_age,distance_to_major_office_km,gym_nearby,park_nearby,swimming_pool,food_delivery,has_ac,has_refrigerator,has_washing_machine,dist_to_metro_km,nearby_hospitals,commute_time_peak_mins,two_wheeler_parking,four_wheeler_parking,rent_price_inr_per_month,location_premium_index,availability_score,has_metro,has_2_wheeler_parking,has_4_wheeler_parking,area_type_Carpet Area,area_type_Super Built Up Area,property_type_Builder Floor,property_type_Independent House,facing_North,facing_North East,facing_South,facing_South East,facing_West,water_source_Borewell + Tanker,water_source_Cauvery,water_source_Cauvery + Borewell,water_source_Tanker,dietary_preference_Veg Only,zone_East,zone_North,zone_South,zone_West
3,2187.0,3,0,1,0,2.2,0,1,0,1,0,0,0,15.0,2,16,2,1,23141.0,31,2,0,1,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
2,1494.0,3,2,1,0,13.2,0,1,1,1,0,0,1,0.4,1,66,2,1,68810.0,31,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
2,1488.0,3,0,1,0,8.1,1,1,1,1,1,0,0,2.5,10,44,2,1,74087.0,33,2,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
2,1100.0,2,1,0,0,1.0,0,1,0,1,0,0,0,25.0,3,13,2,1,18518.0,21,2,0,1,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
4,2404.0,4,1,2,0,2.3,0,1,0,1,1,1,1,0.5,4,18,3,1,120012.0,21,2,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
1,721.0,1,2,1,0,13.8,0,1,0,1,0,0,0,20.0,4,70,2,0,11573.0,31,2,0,1,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
2,1328.0,2,1,1,0,12.5,0,1,0,1,0,0,1,0.3,5,55,3,1,54341.0,21,2,1,0,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
2,1052.0,3,1,1,0,14.2,0,0,0,1,0,0,0,15.0,4,71,1,1,12464.0,31,2,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
4,2496.0,4,1,1,0,4.6,0,1,0,1,0,0,1,1.5,1,27,3,1,85204.0,31,2,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
3,2079.0,3,2,1,0,14.5,1,0,0,1,0,1,0,0.3,4,65,2,1,79679.0,21,2,1,1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,573.0,1,1,1,0,9.6,0,1,0,1,1,1,1,1.0,3,50,3,0,14725.0,31,2,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
2,1100.0,2,0,2,0,10.4,0,0,0,1,1,1,1,1.2,8,48,1,0,56355.0,33,2,1,0,0,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
4,2292.0,5,2,2,0,10.5,0,1,0,1,1,1,1,1.5,4,54,2,0,80206.0,31,2,1,1,0,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2,1302.0,2,2,1,0,12.1,0,0,0,1,1,1,0,25.0,5,56,3,0,26237.0,21,2,0,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2,1040.0,2,3,0,0,8.2,1,1,1,1,0,0,0,0.2,6,41,1,1,55809.0,33,2,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,2217.0,3,1,1,0,9.0,0,1,0,1,0,0,0,1.5,3,66,2,0,68088.0,31,2,1,1,0,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False
2,1064.0,2,3,0,0,13.4,0,1,0,1,0,0,0,20.0,2,67,2,1,16009.0,31,2,0,1,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
3,1737.0,3,0,2,0,1.4,0,1,0,1,1,1,1,25.0,3,14,1,1,35456.0,21,2,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1020.0,3,2,1,0,14.8,1,1,0,1,0,0,0,0.4,2,72,2,1,44486.0,31,2,1,1,0,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
1,621.0,1,0,1,0,14.2,1,1,0,1,0,0,0,0.2,5,61,2,0,44894.0,33,2,1,1,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2,1110.0,2,3,1,0,1.9,0,1,0,1,1,0,0,10.0,4,13,1,1,26674.0,21,2,1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1096.0,2,2,0,0,8.6,1,1,1,1,0,0,0,1.0,2,48,2,1,32100.0,31,2,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
3,1578.0,3,2,1,0,14.6,1,0,1,1,0,0,0,3.0,5,72,1,1,43867.0,21,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
1,658.0,1,2,1,0,6.6,0,1,0,1,0,0,0,0.5,7,36,1,1,38398.0,33,2,1,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,525.0,1,2,1,0,10.2,1,1,0,1,0,0,0,2.5,8,45,1,0,24000.0,33,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2,1216.0,2,2,1,0,6.8,1,1,0,1,0,0,0,0.4,1,39,1,1,53361.0,31,2,1,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
3,2139.0,4,3,2,0,11.3,0,1,0,1,1,1,1,10.0,3,53,2,1,57166.0,21,2,1,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2,1198.0,2,2,1,0,3.1,0,1,0,1,0,0,0,1.0,4,42,2,1,52053.0,33,2,1,1,0,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2,1330.0,2,2,1,0,9.1,0,1,0,1,0,0,0,15.0,5,47,2,1,14747.0,31,2,0,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3,1992.0,3,1,2,0,6.1,0,1,0,1,1,1,1,25.0,3,34,1,1,47960.0,21,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
1,697.0,2,1,0,0,9.1,0,1,0,1,0,0,0,1.5,2,48,2,0,19630.0,31,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
3,2307.0,4,3,1,0,11.7,0,1,0,1,0,0,1,3.0,5,72,1,1,64469.0,31,2,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1,592.0,1,1,1,0,5.8,0,0,0,1,0,0,1,10.0,2,37,2,0,12974.0,21,2,1,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2,1164.0,2,1,2,0,7.0,0,0,0,1,1,1,0,0.4,3,41,1,1,60491.0,21,2,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,757.0,1,3,1,0,7.0,0,1,0,1,0,1,0,3.0,4,33,1,0,19815.0,21,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1112.0,2,1,1,0,0.5,1,1,0,1,0,0,0,20.0,4,23,1,1,14781.0,31,2,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
2,1368.0,3,0,1,0,1.1,1,1,1,1,0,0,0,1.2,5,17,2,1,58974.0,33,2,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2,1186.0,2,0,1,0,4.6,1,1,1,1,1,0,0,0.4,5,23,2,1,61199.0,33,2,1,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
3,2091.0,3,1,2,0,1.7,0,1,0,1,1,1,1,1.0,1,21,2,1,63976.0,31,2,1,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
3,2037.0,3,2,1,0,2.3,0,1,1,1,0,0,0,0.8,1,17,2,1,79553.0,31,2,1,1,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
3,2067.0,3,0,1,0,4.3,1,0,1,1,0,0,0,0.2,10,29,1,1,125645.625,33,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,537.0,1,3,2,0,12.0,0,0,0,1,1,1,1,0.4,2,61,1,0,25146.0,31,2,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2,1376.0,2,1,1,0,10.4,1,0,0,1,0,1,0,0.3,4,51,1,1,50265.0,21,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
3,1698.0,3,0,0,0,3.3,1,0,0,1,0,0,0,0.8,3,26,2,1,53933.0,31,2,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2,1172.0,2,1,2,0,3.6,0,0,0,1,0,0,1,1.2,9,28,2,0,70359.0,33,2,1,1,0,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
2,1414.0,3,0,1,0,11.5,1,0,1,1,0,1,0,1.5,2,59,1,1,43679.0,31,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
2,1098.0,3,3,2,0,0.8,0,1,0,1,1,1,1,1.0,4,14,2,1,35855.0,31,2,1,1,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,753.0,1,3,0,0,6.3,1,0,0,1,0,0,0,2.5,4,39,1,0,31191.0,33,2,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2,1562.0,3,0,1,0,8.0,0,1,1,1,0,0,0,0.4,4,39,1,1,54036.0,21,2,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
4,2612.0,4,3,0,0,9.2,0,0,0,1,0,0,0,10.0,1,45,1,1,64075.0,21,2,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1388.0,3,1,0,0,10.5,0,1,0,1,0,0,0,0.4,4,53,3,1,45463.0,21,2,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2,1332.0,2,3,0,0,7.5,1,0,0,1,0,0,0,0.4,5,38,2,1,42871.0,21,2,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2,1500.0,2,2,1,0,12.2,0,1,0,1,0,1,0,0.4,10,57,1,1,75865.0,33,2,1,0,0,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2,1550.0,3,2,1,0,10.9,0,1,0,1,0,0,0,1.5,3,49,3,0,53463.0,31,2,1,0,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2,1204.0,2,2,2,0,13.3,0,1,0,1,1,1,1,1.5,4,60,1,1,43359.0,31,2,1,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1108.0,2,2,1,0,7.2,0,0,0,1,0,0,0,0.5,9,37,3,0,59347.0,33,2,1,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,707.0,1,2,0,0,4.3,0,1,0,1,0,0,0,0.4,1,25,2,1,24254.0,31,2,1,1,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
3,1860.0,4,0,1,0,7.1,0,0,0,1,0,0,1,0.5,2,42,2,1,44633.0,31,2,1,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
3,1878.0,3,0,1,0,2.2,1,1,0,1,0,0,0,3.0,4,24,2,1,59438.0,31,2,1,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,712.0,1,0,1,0,10.7,0,1,0,1,0,0,0,1.0,3,55,1,0,18743.0,31,2,1,0,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
3,2145.0,3,3,1,0,11.1,0,1,0,1,0,0,0,0.2,5,52,1,0,125645.625,33,2,1,0,0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1234.0,3,2,2,0,1.0,0,0,1,1,1,0,1,0.3,5,18,1,1,52525.0,21,2,1,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2,1056.0,3,2,1,0,4.5,0,1,0,1,1,1,0,0.5,3,31,3,0,36900.0,21,2,1,0,0,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
3,2304.0,3,3,0,0,8.7,0,0,0,0,0,0,0,15.0,1,45,1,1,22782.0,31,2,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
1,730.0,1,0,0,0,3.5,0,0,0,0,0,0,0,15.0,4,24,2,0,8488.0,31,2,0,1,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
4,2416.0,4,1,1,0,13.8,0,1,0,1,0,1,0,1.5,3,65,2,1,71612.0,31,2,1,1,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2,1598.0,2,3,1,0,2.9,1,1,0,1,0,1,1,0.5,4,21,1,1,41006.0,31,2,1,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
4,2120.0,4,0,0,0,1.4,1,1,1,1,0,0,0,0.3,3,20,2,1,66336.0,21,2,1,1,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2,1016.0,2,2,1,0,4.4,0,1,0,1,0,0,0,0.3,3,28,1,1,30894.0,21,2,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
4,2460.0,5,0,1,0,7.7,0,1,0,1,0,0,0,0.5,1,41,3,1,89691.0,21,2,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2,1580.0,2,0,2,0,14.0,0,1,0,1,1,0,1,0.5,4,65,1,0,81629.0,21,2,1,0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
3,1713.0,3,0,0,0,6.3,0,0,0,1,0,0,0,10.0,5,35,1,1,37499.0,21,2,1,0,0,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
2,1598.0,2,0,1,0,0.6,0,1,0,1,0,0,0,10.0,1,11,2,1,33757.0,21,2,1,1,0,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2,1524.0,2,0,1,0,8.1,1,0,1,1,0,0,1,1.0,5,47,2,1,38903.0,31,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1,585.0,1,3,1,0,12.7,0,1,0,1,0,0,0,1.5,3,61,2,1,17258.0,31,2,1,1,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2,1204.0,2,1,1,0,10.4,1,0,1,1,0,1,0,4.0,2,68,1,1,42638.0,31,2,1,0,0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
3,1605.0,3,3,1,0,1.0,0,1,0,1,1,0,0,1.0,5,14,1,1,44788.0,31,2,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,522.0,1,3,1,0,7.0,0,1,0,1,0,0,0,0.3,2,39,2,0,21000.0,21,2,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
1,572.0,1,2,1,0,12.8,1,1,0,1,0,0,1,1.2,4,66,1,0,29199.0,33,2,1,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,581.0,1,3,1,0,0.6,0,1,0,1,0,1,0,0.4,4,10,1,1,21082.0,21,2,1,0,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,666.0,2,0,1,0,3.0,0,1,0,1,0,0,0,0.3,5,27,3,1,20696.0,21,2,1,0,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
2,1118.0,3,1,0,0,8.5,1,1,1,1,0,0,0,1.0,5,59,2,1,37722.0,33,2,1,1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
3,1512.0,3,1,1,0,4.5,1,1,0,1,0,0,0,2.5,4,31,2,1,67536.0,33,2,1,1,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
2,1114.0,2,2,1,0,4.3,1,1,0,1,1,0,0,1.5,4,23,2,1,33023.0,31,2,1,1,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3,2157.0,4,1,1,0,2.5,0,1,0,0,1,0,0,25.0,1,21,1,1,34262.0,21,2,0,0,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
2,1252.0,2,3,1,0,14.3,1,0,1,1,0,0,0,0.4,7,67,1,1,57120.0,33,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2,1366.0,2,3,1,0,1.9,0,1,1,1,0,0,0,1.0,1,19,1,1,34706.0,31,2,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
4,2876.0,5,1,2,0,10.6,1,1,1,1,1,1,1,0.5,9,50,2,1,125645.625,33,2,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2,1134.0,2,3,2,0,5.8,0,1,0,1,1,0,1,0.4,3,32,1,1,58192.0,31,2,1,0,0,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,788.0,2,1,1,0,2.3,0,1,0,1,0,0,1,0.2,10,20,2,1,45956.0,33,2,1,1,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1290.0,2,0,1,0,6.1,0,0,0,1,0,0,1,0.5,4,32,2,0,52334.0,21,2,1,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
3,2373.0,3,1,0,0,11.6,1,0,1,1,0,0,0,10.0,5,57,2,1,50026.0,21,2,1,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1316.0,3,1,1,0,9.4,1,0,1,1,0,0,1,0.2,7,42,2,1,97127.0,33,2,1,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,570.0,1,1,1,0,12.2,1,1,0,1,0,0,1,1.0,6,66,1,0,21424.0,33,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2,1368.0,3,1,0,0,1.2,1,1,0,1,0,0,0,1.5,2,14,2,1,44474.0,31,2,1,1,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
3,2142.0,4,1,1,0,14.3,0,1,0,1,0,0,0,0.4,4,63,2,1,92463.0,33,2,1,1,0,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1298.0,2,2,1,0,9.7,1,0,1,1,0,1,0,0.5,6,43,2,1,67152.0,33,2,1,1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
1,771.0,1,3,2,0,14.6,1,0,0,1,1,1,1,4.0,4,70,1,0,28079.0,31,2,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
2,1444.0,2,1,1,0,7.3,0,1,0,1,0,0,0,25.0,4,40,1,1,23911.0,21,2,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2,1122.0,3,2,1,0,12.4,0,1,0,1,0,0,0,1.0,3,56,1,1,32764.0,31,2,1,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,571.0,2,0,2,0,1.8,1,1,0,1,1,0,0,1.0,2,17,1,0,20400.0,31,2,1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2,1404.0,2,3,1,0,1.4,0,1,0,1,0,0,0,25.0,4,14,2,1,22325.0,21,2,0,1,0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False
2,1556.0,2,3,1,0,8.2,1,1,1,1,0,1,0,0.5,4,46,1,1,57367.0,21,2,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
2,1056.0,2,1,1,0,14.2,0,1,0,1,0,0,0,0.5,3,70,1,0,42157.0,21,2,1,0,0,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
2,1092.0,3,1,1,0,10.7,0,1,1,1,1,1,0,0.8,5,49,1,1,41012.0,31,2,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
4,2808.0,4,2,0,0,11.9,1,0,1,1,0,0,0,0.4,8,55,1,1,110954.0,33,2,1,0,0,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
1,500.0,1,3,1,0,2.9,1,1,0,1,0,0,0,0.2,6,17,2,0,33097.0,33,2,1,1,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1,631.0,1,0,1,0,11.5,1,1,0,1,0,0,0,0.4,9,54,1,0,27628.0,33,2,1,0,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2,1106.0,3,1,1,0,9.3,0,1,0,1,0,0,0,1.5,2,60,1,0,33060.0,31,2,1,0,0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
3,2328.0,4,2,1,0,0.9,1,1,1,1,0,0,0,0.3,1,10,2,1,75122.0,21,2,1,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2,1270.0,3,3,1,0,1.7,0,1,0,1,0,0,0,10.0,1,16,3,1,33828.0,21,2,1,0,0,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
2,1548.0,2,3,1,0,14.3,1,0,0,1,0,0,0,0.4,2,64,1,1,67403.0,21,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
