size_bhk,total_sqft,bath,balcony,furnishing,building_age,distance_to_major_office_km,gym_nearby,park_nearby,swimming_pool,food_delivery,has_ac,has_refrigerator,has_washing_machine,dist_to_metro_km,legal_security_deposit,market_security_deposit,nearby_hospitals,commute_time_peak_mins,two_wheeler_parking,four_wheeler_parking,rent_price_inr_per_month,location_premium_index,availability_score,has_metro,has_2_wheeler_parking,has_4_wheeler_parking,area_type_Carpet Area,area_type_Super Built Up Area,property_type_Builder Floor,property_type_Independent House,facing_North,facing_North East,facing_South,facing_South East,facing_West,water_source_Borewell + Tanker,water_source_Cauvery,water_source_Cauvery + Borewell,water_source_Tanker,dietary_preference_Veg Only,zone_East,zone_North,zone_South,zone_West
3,1656.0,3,3,1,0,4.4,0,0,0,1,0,0,0,0.4,136368,545472,2,23,2,0,68184.0,31,2,1,1,0,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
2,1196.0,2,2,1,0,6.8,0,0,1,1,0,1,0,0.5,85092,382914,5,37,2,1,42546.0,21,2,1,1,0,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,522.0,1,0,1,0,7.9,0,1,0,0,0,0,0,25.0,18560,55680,3,46,2,1,9280.0,21,2,0,1,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,2356.0,4,2,1,0,7.9,0,0,0,1,0,0,0,3.0,131702,592659,2,46,3,0,65851.0,31,2,1,0,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
3,1845.0,3,1,1,0,11.8,1,1,0,1,0,0,0,0.5,133838,669190,1,55,1,1,66919.0,21,2,1,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
2,1124.0,2,3,1,0,4.3,0,0,0,1,0,1,0,2.5,104076,520380,7,25,3,1,52038.0,33,2,1,0,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,646.0,2,2,0,0,6.4,0,0,0,1,0,0,0,1.0,30746,92238,4,38,2,0,15373.0,31,2,1,1,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
4,2040.0,4,3,1,0,7.5,0,1,0,1,0,1,0,25.0,69612,208836,4,41,2,1,34806.0,21,2,0,1,0,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False
4,3112.5,4,0,1,0,12.6,1,1,1,1,0,0,0,0.5,319818,799545,6,62,1,1,125645.625,33,2,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1,520.0,1,1,0,0,2.9,0,1,0,1,0,0,0,15.0,10688,32064,3,25,1,0,5344.0,31,2,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,659.0,1,3,0,0,12.2,0,1,0,1,0,0,0,25.0,22096,55240,5,62,1,1,11048.0,21,2,0,0,0,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
1,715.0,1,0,2,0,7.2,1,0,0,1,1,1,1,1.5,56238,168714,4,56,2,0,28119.0,31,2,1,1,0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
2,1474.0,2,3,1,0,4.0,1,1,1,1,0,1,0,1.0,86080,258240,1,27,2,1,43040.0,31,2,1,1,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
3,2187.0,3,0,1,0,2.2,0,1,0,1,0,0,0,15.0,46282,208269,2,16,2,1,23141.0,31,2,0,1,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
2,1494.0,3,2,1,0,13.2,0,1,1,1,0,0,1,0.4,137620,550480,1,66,2,1,68810.0,31,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
2,1488.0,3,0,1,0,8.1,1,1,1,1,1,0,0,2.5,148174,666783,10,44,2,1,74087.0,33,2,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
2,1100.0,2,1,0,0,1.0,0,1,0,1,0,0,0,25.0,37036,148144,3,13,2,1,18518.0,21,2,0,1,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
4,2404.0,4,1,2,0,2.3,0,1,0,1,1,1,1,0.5,240024,960096,4,18,3,1,120012.0,21,2,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
1,721.0,1,2,1,0,13.8,0,1,0,1,0,0,0,20.0,23146,92584,4,70,2,0,11573.0,31,2,0,1,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
2,1328.0,2,1,1,0,12.5,0,1,0,1,0,0,1,0.3,108682,380387,5,55,3,1,54341.0,21,2,1,0,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
2,1052.0,3,1,1,0,14.2,0,0,0,1,0,0,0,15.0,24928,124640,4,71,1,1,12464.0,31,2,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
4,2496.0,4,1,1,0,4.6,0,1,0,1,0,0,1,1.5,170408,681632,1,27,3,1,85204.0,31,2,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
3,2079.0,3,2,1,0,14.5,1,0,0,1,0,1,0,0.3,159358,637432,4,65,2,1,79679.0,21,2,1,1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,573.0,1,1,1,0,9.6,0,1,0,1,1,1,1,1.0,29450,147250,3,50,3,0,14725.0,31,2,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
2,1100.0,2,0,2,0,10.4,0,0,0,1,1,1,1,1.2,112710,507195,8,48,1,0,56355.0,33,2,1,0,0,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
4,2292.0,5,2,2,0,10.5,0,1,0,1,1,1,1,1.5,160412,401030,4,54,2,0,80206.0,31,2,1,1,0,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2,1302.0,2,2,1,0,12.1,0,0,0,1,1,1,0,25.0,52474,262370,5,56,3,0,26237.0,21,2,0,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2,1040.0,2,3,0,0,8.2,1,1,1,1,0,0,0,0.2,111618,446472,6,41,1,1,55809.0,33,2,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,2217.0,3,1,1,0,9.0,0,1,0,1,0,0,0,1.5,136176,612792,3,66,2,0,68088.0,31,2,1,1,0,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False
2,1064.0,2,3,0,0,13.4,0,1,0,1,0,0,0,20.0,32018,160090,2,67,2,1,16009.0,31,2,0,1,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
3,1737.0,3,0,2,0,1.4,0,1,0,1,1,1,1,25.0,70912,283648,3,14,1,1,35456.0,21,2,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1020.0,3,2,1,0,14.8,1,1,0,1,0,0,0,0.4,88972,222430,2,72,2,1,44486.0,31,2,1,1,0,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
1,621.0,1,0,1,0,14.2,1,1,0,1,0,0,0,0.2,89788,224470,5,61,2,0,44894.0,33,2,1,1,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2,1110.0,2,3,1,0,1.9,0,1,0,1,1,0,0,10.0,53348,160044,4,13,1,1,26674.0,21,2,1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1096.0,2,2,0,0,8.6,1,1,1,1,0,0,0,1.0,64200,256800,2,48,2,1,32100.0,31,2,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
3,1578.0,3,2,1,0,14.6,1,0,1,1,0,0,0,3.0,87734,438670,5,72,1,1,43867.0,21,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
1,658.0,1,2,1,0,6.6,0,1,0,1,0,0,0,0.5,76796,345582,7,36,1,1,38398.0,33,2,1,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,525.0,1,2,1,0,10.2,1,1,0,1,0,0,0,2.5,48000,216000,8,45,1,0,24000.0,33,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2,1216.0,2,2,1,0,6.8,1,1,0,1,0,0,0,0.4,106722,480249,1,39,1,1,53361.0,31,2,1,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
3,2139.0,4,3,2,0,11.3,0,1,0,1,1,1,1,10.0,114332,285830,3,53,2,1,57166.0,21,2,1,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2,1198.0,2,2,1,0,3.1,0,1,0,1,0,0,0,1.0,104106,416424,4,42,2,1,52053.0,33,2,1,1,0,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2,1330.0,2,2,1,0,9.1,0,1,0,1,0,0,0,15.0,29494,147470,5,47,2,1,14747.0,31,2,0,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3,1992.0,3,1,2,0,6.1,0,1,0,1,1,1,1,25.0,95920,479600,3,34,1,1,47960.0,21,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
1,697.0,2,1,0,0,9.1,0,1,0,1,0,0,0,1.5,39260,196300,2,48,2,0,19630.0,31,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
3,2307.0,4,3,1,0,11.7,0,1,0,1,0,0,1,3.0,128938,580221,5,72,1,1,64469.0,31,2,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1,592.0,1,1,1,0,5.8,0,0,0,1,0,0,1,10.0,25948,90818,2,37,2,0,12974.0,21,2,1,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2,1164.0,2,1,2,0,7.0,0,0,0,1,1,1,0,0.4,120982,483928,3,41,1,1,60491.0,21,2,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,757.0,1,3,1,0,7.0,0,1,0,1,0,1,0,3.0,39630,118890,4,33,1,0,19815.0,21,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1112.0,2,1,1,0,0.5,1,1,0,1,0,0,0,20.0,29562,88686,4,23,1,1,14781.0,31,2,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
2,1368.0,3,0,1,0,1.1,1,1,1,1,0,0,0,1.2,117948,353844,5,17,2,1,58974.0,33,2,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2,1186.0,2,0,1,0,4.6,1,1,1,1,1,0,0,0.4,122398,428393,5,23,2,1,61199.0,33,2,1,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
3,2091.0,3,1,2,0,1.7,0,1,0,1,1,1,1,1.0,127952,575784,1,21,2,1,63976.0,31,2,1,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
3,2037.0,3,2,1,0,2.3,0,1,1,1,0,0,0,0.8,159106,715977,1,17,2,1,79553.0,31,2,1,1,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
3,2067.0,3,0,1,0,4.3,1,0,1,1,0,0,0,0.2,262520,918820,10,29,1,1,125645.625,33,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,537.0,1,3,2,0,12.0,0,0,0,1,1,1,1,0.4,50292,150876,2,61,1,0,25146.0,31,2,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2,1376.0,2,1,1,0,10.4,1,0,0,1,0,1,0,0.3,100530,452385,4,51,1,1,50265.0,21,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
3,1698.0,3,0,0,0,3.3,1,0,0,1,0,0,0,0.8,107866,377531,3,26,2,1,53933.0,31,2,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2,1172.0,2,1,2,0,3.6,0,0,0,1,0,0,1,1.2,140718,492513,9,28,2,0,70359.0,33,2,1,1,0,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
2,1414.0,3,0,1,0,11.5,1,0,1,1,0,1,0,1.5,87358,349432,2,59,1,1,43679.0,31,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
2,1098.0,3,3,2,0,0.8,0,1,0,1,1,1,1,1.0,71710,215130,4,14,2,1,35855.0,31,2,1,1,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,753.0,1,3,0,0,6.3,1,0,0,1,0,0,0,2.5,62382,218337,4,39,1,0,31191.0,33,2,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2,1562.0,3,0,1,0,8.0,0,1,1,1,0,0,0,0.4,108072,486324,4,39,1,1,54036.0,21,2,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
4,2612.0,4,3,0,0,9.2,0,0,0,1,0,0,0,10.0,128150,576675,1,45,1,1,64075.0,21,2,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1388.0,3,1,0,0,10.5,0,1,0,1,0,0,0,0.4,90926,227315,4,53,3,1,45463.0,21,2,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2,1332.0,2,3,0,0,7.5,1,0,0,1,0,0,0,0.4,85742,257226,5,38,2,1,42871.0,21,2,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2,1500.0,2,2,1,0,12.2,0,1,0,1,0,1,0,0.4,151730,606920,10,57,1,1,75865.0,33,2,1,0,0,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2,1550.0,3,2,1,0,10.9,0,1,0,1,0,0,0,1.5,106926,320778,3,49,3,0,53463.0,31,2,1,0,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2,1204.0,2,2,2,0,13.3,0,1,0,1,1,1,1,1.5,86718,433590,4,60,1,1,43359.0,31,2,1,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1108.0,2,2,1,0,7.2,0,0,0,1,0,0,0,0.5,118694,415429,9,37,3,0,59347.0,33,2,1,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,707.0,1,2,0,0,4.3,0,1,0,1,0,0,0,0.4,48508,242540,1,25,2,1,24254.0,31,2,1,1,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
3,1860.0,4,0,1,0,7.1,0,0,0,1,0,0,1,0.5,89266,401697,2,42,2,1,44633.0,31,2,1,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
3,1878.0,3,0,1,0,2.2,1,1,0,1,0,0,0,3.0,118876,534942,4,24,2,1,59438.0,31,2,1,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,712.0,1,0,1,0,10.7,0,1,0,1,0,0,0,1.0,37486,131201,3,55,1,0,18743.0,31,2,1,0,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
3,2145.0,3,3,1,0,11.1,0,1,0,1,0,0,0,0.2,284440,1422200,5,52,1,0,125645.625,33,2,1,0,0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1234.0,3,2,2,0,1.0,0,0,1,1,1,0,1,0.3,105050,262625,5,18,1,1,52525.0,21,2,1,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2,1056.0,3,2,1,0,4.5,0,1,0,1,1,1,0,0.5,73800,295200,3,31,3,0,36900.0,21,2,1,0,0,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
3,2304.0,3,3,0,0,8.7,0,0,0,0,0,0,0,15.0,45564,159474,1,45,1,1,22782.0,31,2,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
1,730.0,1,0,0,0,3.5,0,0,0,0,0,0,0,15.0,16976,84880,4,24,2,0,8488.0,31,2,0,1,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
4,2416.0,4,1,1,0,13.8,0,1,0,1,0,1,0,1.5,143224,716120,3,65,2,1,71612.0,31,2,1,1,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2,1598.0,2,3,1,0,2.9,1,1,0,1,0,1,1,0.5,82012,369054,4,21,1,1,41006.0,31,2,1,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
4,2120.0,4,0,0,0,1.4,1,1,1,1,0,0,0,0.3,132672,331680,3,20,2,1,66336.0,21,2,1,1,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2,1016.0,2,2,1,0,4.4,0,1,0,1,0,0,0,0.3,61788,247152,3,28,1,1,30894.0,21,2,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
4,2460.0,5,0,1,0,7.7,0,1,0,1,0,0,0,0.5,179382,448455,1,41,3,1,89691.0,21,2,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2,1580.0,2,0,2,0,14.0,0,1,0,1,1,0,1,0.5,163258,816290,4,65,1,0,81629.0,21,2,1,0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
3,1713.0,3,0,0,0,6.3,0,0,0,1,0,0,0,10.0,74998,224994,5,35,1,1,37499.0,21,2,1,0,0,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
2,1598.0,2,0,1,0,0.6,0,1,0,1,0,0,0,10.0,67514,168785,1,11,2,1,33757.0,21,2,1,1,0,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2,1524.0,2,0,1,0,8.1,1,0,1,1,0,0,1,1.0,77806,272321,5,47,2,1,38903.0,31,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1,585.0,1,3,1,0,12.7,0,1,0,1,0,0,0,1.5,34516,172580,3,61,2,1,17258.0,31,2,1,1,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2,1204.0,2,1,1,0,10.4,1,0,1,1,0,1,0,4.0,85276,341104,2,68,1,1,42638.0,31,2,1,0,0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
3,1605.0,3,3,1,0,1.0,0,1,0,1,1,0,0,1.0,89576,268728,5,14,1,1,44788.0,31,2,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,522.0,1,3,1,0,7.0,0,1,0,1,0,0,0,0.3,42000,105000,2,39,2,0,21000.0,21,2,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
1,572.0,1,2,1,0,12.8,1,1,0,1,0,0,1,1.2,58398,175194,4,66,1,0,29199.0,33,2,1,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,581.0,1,3,1,0,0.6,0,1,0,1,0,1,0,0.4,42164,105410,4,10,1,1,21082.0,21,2,1,0,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,666.0,2,0,1,0,3.0,0,1,0,1,0,0,0,0.3,41392,206960,5,27,3,1,20696.0,21,2,1,0,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
2,1118.0,3,1,0,0,8.5,1,1,1,1,0,0,0,1.0,75444,264054,5,59,2,1,37722.0,33,2,1,1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
3,1512.0,3,1,1,0,4.5,1,1,0,1,0,0,0,2.5,135072,540288,4,31,2,1,67536.0,33,2,1,1,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
2,1114.0,2,2,1,0,4.3,1,1,0,1,1,0,0,1.5,66046,165115,4,23,2,1,33023.0,31,2,1,1,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3,2157.0,4,1,1,0,2.5,0,1,0,0,1,0,0,25.0,68524,205572,1,21,1,1,34262.0,21,2,0,0,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
2,1252.0,2,3,1,0,14.3,1,0,1,1,0,0,0,0.4,114240,571200,7,67,1,1,57120.0,33,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2,1366.0,2,3,1,0,1.9,0,1,1,1,0,0,0,1.0,69412,208236,1,19,1,1,34706.0,31,2,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
4,2876.0,5,1,2,0,10.6,1,1,1,1,1,1,1,0.5,410068,2050340,9,50,2,1,125645.625,33,2,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2,1134.0,2,3,2,0,5.8,0,1,0,1,1,0,1,0.4,116384,349152,3,32,1,1,58192.0,31,2,1,0,0,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,788.0,2,1,1,0,2.3,0,1,0,1,0,0,1,0.2,91912,321692,10,20,2,1,45956.0,33,2,1,1,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1290.0,2,0,1,0,6.1,0,0,0,1,0,0,1,0.5,104668,366338,4,32,2,0,52334.0,21,2,1,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
3,2373.0,3,1,0,0,11.6,1,0,1,1,0,0,0,10.0,100052,450234,5,57,2,1,50026.0,21,2,1,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1316.0,3,1,1,0,9.4,1,0,1,1,0,0,1,0.2,194254,971270,7,42,2,1,97127.0,33,2,1,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,570.0,1,1,1,0,12.2,1,1,0,1,0,0,1,1.0,42848,192816,6,66,1,0,21424.0,33,2,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2,1368.0,3,1,0,0,1.2,1,1,0,1,0,0,0,1.5,88948,266844,2,14,2,1,44474.0,31,2,1,1,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
3,2142.0,4,1,1,0,14.3,0,1,0,1,0,0,0,0.4,184926,462315,4,63,2,1,92463.0,33,2,1,1,0,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1298.0,2,2,1,0,9.7,1,0,1,1,0,1,0,0.5,134304,671520,6,43,2,1,67152.0,33,2,1,1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
1,771.0,1,3,2,0,14.6,1,0,0,1,1,1,1,4.0,56158,280790,4,70,1,0,28079.0,31,2,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
2,1444.0,2,1,1,0,7.3,0,1,0,1,0,0,0,25.0,47822,143466,4,40,1,1,23911.0,21,2,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2,1122.0,3,2,1,0,12.4,0,1,0,1,0,0,0,1.0,65528,294876,3,56,1,1,32764.0,31,2,1,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,571.0,2,0,2,0,1.8,1,1,0,1,1,0,0,1.0,40800,163200,2,17,1,0,20400.0,31,2,1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2,1404.0,2,3,1,0,1.4,0,1,0,1,0,0,0,25.0,44650,133950,4,14,2,1,22325.0,21,2,0,1,0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False
2,1556.0,2,3,1,0,8.2,1,1,1,1,0,1,0,0.5,114734,286835,4,46,1,1,57367.0,21,2,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
