listing_id,area_type,availability,location,zone,market_status,property_type,size_bhk,society,total_sqft,bath,balcony,furnishing,facing,building_age,distance_to_major_office_km,gym_nearby,park_nearby,swimming_pool,food_delivery,has_ac,has_refrigerator,has_washing_machine,water_source,nearest_metro_station,dist_to_metro_km,legal_security_deposit,market_security_deposit,nearby_hospitals,commute_time_peak_mins,two_wheeler_parking,four_wheeler_parking,pets_allowed,dietary_preference,rent_price_inr_per_month
BLR-XPND-1017,Built-up Area,Ready To Move,Banaswadi,East,Normal,Builder Floor,4,Prestige,2356,4,2,Semi-Furnished,South,10+ years,7.9,0,0,0,1,0,0,0,Borewell + Tanker,Baiyappanahalli,3.0,131702,592659,2,46,3,0,0,Any,65851
BLR-XPND-1018,Carpet Area,Ready To Move,Malleshwaram,West,Normal,Apartment,3,Mantri,1845,3,1,Semi-Furnished,North,10+ years,11.8,1,1,0,1,0,0,0,Cauvery,Mantri Square,0.5,133838,669190,1,55,1,1,1,Veg Only,66919
BLR-XPND-1019,Super built-up Area,Ready To Move,Koramangala,South,Hot,Builder Floor,2,Brigade,1124,2,3,Semi-Furnished,West,10+ years,4.3,0,0,0,1,0,1,0,Cauvery + Borewell,BTM Layout,2.5,104076,520380,7,25,3,1,1,Any,52038
BLR-XPND-1020,Built-up Area,Ready To Move,Kanakapura Road,South,Normal,Apartment,1,Mantri,646,2,2,Unfurnished,South,10+ years,6.4,0,0,0,1,0,0,0,Cauvery,Silk Institute,1.0,30746,92238,4,38,2,0,1,Any,15373
BLR-XPND-1021,Carpet Area,Ready To Move,Devanahalli,North,Cold,Builder Floor,4,Unknown,2040,4,3,Semi-Furnished,West,10+ years,7.5,0,1,0,1,0,1,0,Tanker,None,25.0,69612,208836,4,41,2,1,1,Veg Only,34806
BLR-XPND-1022,Built-up Area,Ready To Move,Indiranagar,Central,Hot,Apartment,4,Sobha,3152,4,0,Semi-Furnished,North,5-10 years,12.6,1,1,1,1,0,0,0,Tanker,Indiranagar,0.5,319818,799545,6,62,1,1,1,Any,159909
BLR-XPND-1023,Built-up Area,Ready To Move,Anekal,South,Cold,Apartment,1,Prestige,520,1,1,Unfurnished,South,10+ years,2.9,0,1,0,1,0,0,0,Tanker,None,15.0,10688,32064,3,25,1,0,1,Any,5344
BLR-XPND-1024,Carpet Area,Ready To Move,Devanahalli,North,Cold,Independent House,1,Standalone,659,1,3,Unfurnished,South-East,1-5 years,12.2,0,1,0,1,0,0,0,Borewell + Tanker,None,25.0,22096,55240,5,62,1,1,1,Any,11048
BLR-XPND-1025,Super built-up Area,Ready To Move,Marathahalli,East,Normal,Apartment,1,Brigade,715,1,0,Fully Furnished,West,1-5 years,7.2,1,0,0,1,1,1,1,Borewell + Tanker,Kundalahalli,1.5,56238,168714,4,56,2,0,1,Any,28119
BLR-XPND-1026,Carpet Area,Ready To Move,Kanakapura Road,South,Normal,Apartment,2,Mantri,1474,2,3,Semi-Furnished,West,1-5 years,4.0,1,1,1,1,0,1,0,Borewell,Silk Institute,1.0,86080,258240,1,27,2,1,1,Veg Only,43040
BLR-XPND-1027,Carpet Area,Ready To Move,Anekal,South,Cold,Apartment,3,Sobha,2187,3,0,Semi-Furnished,South-East,5-10 years,2.2,0,1,0,1,0,0,0,Tanker,None,15.0,46282,208269,2,16,2,1,1,Any,23141
BLR-XPND-1028,Built-up Area,03-Mar,Jayanagar,South,Normal,Apartment,2,Sobha,1494,3,2,Semi-Furnished,East,0-1 years,13.2,0,1,1,1,0,0,1,Cauvery + Borewell,Jayanagar,0.4,137620,550480,1,66,2,1,1,Veg Only,68810
BLR-XPND-1029,Built-up Area,Ready To Move,Koramangala,South,Hot,Apartment,2,Brigade,1488,3,0,Semi-Furnished,North,1-5 years,8.1,1,1,1,1,1,0,0,Borewell,BTM Layout,2.5,148174,666783,10,44,2,1,1,Veg Only,74087
BLR-XPND-1030,Super built-up Area,Ready To Move,Devanahalli,North,Cold,Apartment,2,Standalone,1100,2,1,Unfurnished,South,1-5 years,1.0,0,1,0,1,0,0,0,Tanker,None,25.0,37036,148144,3,13,2,1,1,Any,18518
BLR-XPND-1031,Built-up Area,Ready To Move,Malleshwaram,West,Normal,Builder Floor,4,Prestige,2404,4,1,Fully Furnished,North,0-1 years,2.3,0,1,0,1,1,1,1,Tanker,Mantri Square,0.5,240024,960096,4,18,3,1,1,Veg Only,120012
BLR-XPND-1032,Super built-up Area,Ready To Move,Hoskote,East,Cold,Apartment,1,Mantri,721,1,2,Semi-Furnished,North-East,0-1 years,13.8,0,1,0,1,0,0,0,Borewell + Tanker,None,20.0,23146,92584,4,70,2,0,1,Veg Only,11573
BLR-XPND-1033,Carpet Area,Ready To Move,Hebbal,North,Normal,Independent House,2,Mantri,1328,2,1,Semi-Furnished,West,0-1 years,12.5,0,1,0,1,0,0,1,Tanker,Hebbal,0.3,108682,380387,5,55,3,1,1,Any,54341
BLR-XPND-1034,Built-up Area,04-Apr,Anekal,South,Cold,Builder Floor,2,Mantri,1052,3,1,Semi-Furnished,North,1-5 years,14.2,0,0,0,1,0,0,0,Cauvery,None,15.0,24928,124640,4,71,1,1,1,Any,12464
BLR-XPND-1035,Built-up Area,Ready To Move,Bannerghatta Road,South,Normal,Builder Floor,4,Brigade,2496,4,1,Semi-Furnished,South,0-1 years,4.6,0,1,0,1,0,0,1,Tanker,Gottigere,1.5,170408,681632,1,27,3,1,1,Any,85204
BLR-XPND-1036,Super built-up Area,07-May,Vijayanagar,West,Normal,Apartment,3,Unknown,2079,3,2,Semi-Furnished,West,0-1 years,14.5,1,0,0,1,0,1,0,Borewell,Vijayanagar,0.3,159358,637432,4,65,2,1,1,Any,79679
BLR-XPND-1037,Built-up Area,Ready To Move,Kanakapura Road,South,Normal,Independent House,1,Sobha,573,1,1,Semi-Furnished,North-East,10+ years,9.6,0,1,0,1,1,1,1,Cauvery + Borewell,Silk Institute,1.0,29450,147250,3,50,3,0,1,Veg Only,14725
BLR-XPND-1038,Carpet Area,Ready To Move,HSR Layout,South,Hot,Independent House,2,Sobha,1100,2,0,Fully Furnished,North,5-10 years,10.4,0,0,0,1,1,1,1,Cauvery + Borewell,Bommanahalli,1.2,112710,507195,8,48,1,0,0,Any,56355
BLR-XPND-1039,Super built-up Area,Ready To Move,Bannerghatta Road,South,Normal,Independent House,4,Mantri,2292,5,2,Fully Furnished,West,5-10 years,10.5,0,1,0,1,1,1,1,Tanker,Gottigere,1.5,160412,401030,4,54,2,0,1,Any,80206
BLR-XPND-1040,Carpet Area,Ready To Move,Devanahalli,North,Cold,Builder Floor,2,Standalone,1302,2,2,Semi-Furnished,North,0-1 years,12.1,0,0,0,1,1,1,0,Borewell,None,25.0,52474,262370,5,56,3,0,1,Veg Only,26237
BLR-XPND-1041,Built-up Area,Ready To Move,MG Road,Central,Hot,Apartment,2,Standalone,1040,2,3,Unfurnished,East,5-10 years,8.2,1,1,1,1,0,0,0,Borewell + Tanker,MG Road,0.2,111618,446472,6,41,1,1,1,Any,55809
BLR-XPND-1042,Carpet Area,07-Mar,Marathahalli,East,Normal,Builder Floor,3,Brigade,2217,3,1,Semi-Furnished,West,5-10 years,9.0,0,1,0,1,0,0,0,Tanker,Kundalahalli,1.5,136176,612792,3,66,2,0,1,Veg Only,68088
BLR-XPND-1043,Carpet Area,17-Mar,Hoskote,East,Cold,Independent House,2,Mantri,1064,2,3,Unfurnished,North,0-1 years,13.4,0,1,0,1,0,0,0,Borewell,None,20.0,32018,160090,2,67,2,1,0,Any,16009
BLR-XPND-1044,Super built-up Area,26-Apr,Devanahalli,North,Cold,Apartment,3,Standalone,1737,3,0,Fully Furnished,North,5-10 years,1.4,0,1,0,1,1,1,1,Borewell + Tanker,None,25.0,70912,283648,3,14,1,1,1,Any,35456
BLR-XPND-1045,Carpet Area,Ready To Move,Jayanagar,South,Normal,Apartment,2,Prestige,1020,3,2,Semi-Furnished,North,1-5 years,14.8,1,1,0,1,0,0,0,Tanker,Jayanagar,0.4,88972,222430,2,72,2,1,1,Veg Only,44486
BLR-XPND-1046,Super built-up Area,Ready To Move,MG Road,Central,Hot,Apartment,1,Mantri,621,1,0,Semi-Furnished,North-East,0-1 years,14.2,1,1,0,1,0,0,0,Borewell + Tanker,MG Road,0.2,89788,224470,5,61,2,0,1,Any,44894
BLR-XPND-1047,Built-up Area,Ready To Move,Yelahanka,North,Cold,Apartment,2,Brigade,1110,2,3,Semi-Furnished,North,1-5 years,1.9,0,1,0,1,1,0,0,Borewell + Tanker,Nagasandra,10.0,53348,160044,4,13,1,1,1,Any,26674
BLR-XPND-1048,Built-up Area,Ready To Move,Kanakapura Road,South,Normal,Apartment,2,Standalone,1096,2,2,Unfurnished,West,0-1 years,8.6,1,1,1,1,0,0,0,Tanker,Silk Institute,1.0,64200,256800,2,48,2,1,1,Any,32100
BLR-XPND-1049,Carpet Area,Ready To Move,Thanisandra,North,Normal,Apartment,3,Brigade,1578,3,2,Semi-Furnished,South-East,10+ years,14.6,1,0,1,1,0,0,0,Tanker,Nagawara,3.0,87734,438670,5,72,1,1,1,Veg Only,43867
BLR-XPND-1050,Carpet Area,Ready To Move,Indiranagar,Central,Hot,Builder Floor,1,Prestige,658,1,2,Semi-Furnished,West,0-1 years,6.6,0,1,0,1,0,0,0,Borewell,Indiranagar,0.5,76796,345582,7,36,1,1,0,Any,38398
BLR-XPND-1051,Super built-up Area,Ready To Move,Koramangala,South,Hot,Apartment,1,Prestige,525,1,2,Semi-Furnished,West,5-10 years,10.2,1,1,0,1,0,0,0,Cauvery + Borewell,BTM Layout,2.5,48000,216000,8,45,1,0,1,Any,24000
BLR-XPND-1052,Built-up Area,Ready To Move,Jayanagar,South,Normal,Apartment,2,Unknown,1216,2,2,Semi-Furnished,West,1-5 years,6.8,1,1,0,1,0,0,0,Cauvery + Borewell,Jayanagar,0.4,106722,480249,1,39,1,1,1,Any,53361
BLR-XPND-1053,Carpet Area,Ready To Move,Yelahanka,North,Cold,Apartment,3,Standalone,2139,4,3,Fully Furnished,North-East,10+ years,11.3,0,1,0,1,1,1,1,Tanker,Nagasandra,10.0,114332,285830,3,53,2,1,1,Any,57166
BLR-XPND-1054,Carpet Area,Ready To Move,Whitefield,East,Hot,Builder Floor,2,Unknown,1198,2,2,Semi-Furnished,South,1-5 years,3.1,0,1,0,1,0,0,0,Borewell + Tanker,Kadugodi,1.0,104106,416424,4,42,2,1,1,Any,52053
BLR-XPND-1055,Super built-up Area,Ready To Move,Anekal,South,Cold,Apartment,2,Mantri,1330,2,2,Semi-Furnished,East,5-10 years,9.1,0,1,0,1,0,0,0,Cauvery,None,15.0,29494,147470,5,47,2,1,1,Any,14747
BLR-XPND-1056,Built-up Area,05-Apr,Devanahalli,North,Cold,Apartment,3,Prestige,1992,3,1,Fully Furnished,East,0-1 years,6.1,0,1,0,1,1,1,1,Tanker,None,25.0,95920,479600,3,34,1,1,1,Veg Only,47960
BLR-XPND-1057,Built-up Area,Ready To Move,Marathahalli,East,Normal,Apartment,1,Sobha,697,2,1,Unfurnished,East,5-10 years,9.1,0,1,0,1,0,0,0,Tanker,Kundalahalli,1.5,39260,196300,2,48,2,0,1,Veg Only,19630
BLR-XPND-1058,Super built-up Area,Ready To Move,Banaswadi,East,Normal,Apartment,3,Unknown,2307,4,3,Semi-Furnished,South,5-10 years,11.7,0,1,0,1,0,0,1,Borewell,Baiyappanahalli,3.0,128938,580221,5,72,1,1,1,Veg Only,64469
BLR-XPND-1059,Built-up Area,12-Feb,Yelahanka,North,Cold,Apartment,1,Unknown,592,1,1,Semi-Furnished,South,10+ years,5.8,0,0,0,1,0,0,1,Tanker,Nagasandra,10.0,25948,90818,2,37,2,0,1,Any,12974
BLR-XPND-1060,Built-up Area,13-Feb,Rajajinagar,West,Normal,Independent House,2,Prestige,1164,2,1,Fully Furnished,North-East,0-1 years,7.0,0,0,0,1,1,1,0,Borewell,Rajajinagar,0.4,120982,483928,3,41,1,1,0,Any,60491
BLR-XPND-1061,Super built-up Area,26-Mar,Thanisandra,North,Normal,Apartment,1,Unknown,757,1,3,Semi-Furnished,North,5-10 years,7.0,0,1,0,1,0,1,0,Borewell,Nagawara,3.0,39630,118890,4,33,1,0,1,Any,19815
BLR-XPND-1062,Carpet Area,Ready To Move,Hoskote,East,Cold,Apartment,2,Standalone,1112,2,1,Semi-Furnished,North-East,10+ years,0.5,1,1,0,1,0,0,0,Tanker,None,20.0,29562,88686,4,23,1,1,1,Any,14781
BLR-XPND-1063,Carpet Area,Ready To Move,HSR Layout,South,Hot,Apartment,2,Mantri,1368,3,0,Semi-Furnished,East,5-10 years,1.1,1,1,1,1,0,0,0,Tanker,Bommanahalli,1.2,117948,353844,5,17,2,1,1,Any,58974
BLR-XPND-1064,Built-up Area,06-Apr,Ulsoor,Central,Hot,Apartment,2,Mantri,1186,2,0,Semi-Furnished,South,0-1 years,4.6,1,1,1,1,1,0,0,Borewell + Tanker,Ulsoor,0.4,122398,428393,5,23,2,1,1,Any,61199
BLR-XPND-1065,Carpet Area,Ready To Move,Kanakapura Road,South,Normal,Apartment,3,Mantri,2091,3,1,Fully Furnished,North-East,5-10 years,1.7,0,1,0,1,1,1,1,Tanker,Silk Institute,1.0,127952,575784,1,21,2,1,1,Any,63976
BLR-XPND-1066,Super built-up Area,Ready To Move,JP Nagar,South,Normal,Apartment,3,Unknown,2037,3,2,Semi-Furnished,North,0-1 years,2.3,0,1,1,1,0,0,0,Cauvery + Borewell,JP Nagar,0.8,159106,715977,1,17,2,1,1,Veg Only,79553
BLR-XPND-1067,Carpet Area,Ready To Move,MG Road,Central,Hot,Apartment,3,Mantri,2067,3,0,Semi-Furnished,South-East,5-10 years,4.3,1,0,1,1,0,0,0,Tanker,MG Road,0.2,262520,918820,10,29,1,1,1,Any,131260
BLR-XPND-1068,Built-up Area,05-May,Jayanagar,South,Normal,Builder Floor,1,Prestige,537,1,3,Fully Furnished,South-East,5-10 years,12.0,0,0,0,1,1,1,1,Borewell,Jayanagar,0.4,50292,150876,2,61,1,0,1,Veg Only,25146
BLR-XPND-1069,Carpet Area,Ready To Move,Hebbal,North,Normal,Apartment,2,Unknown,1376,2,1,Semi-Furnished,South-East,10+ years,10.4,1,0,0,1,0,1,0,Tanker,Hebbal,0.3,100530,452385,4,51,1,1,1,Any,50265
BLR-XPND-1070,Carpet Area,14-Apr,JP Nagar,South,Normal,Apartment,3,Unknown,1698,3,0,Unfurnished,East,1-5 years,3.3,1,0,0,1,0,0,0,Cauvery,JP Nagar,0.8,107866,377531,3,26,2,1,1,Any,53933
BLR-XPND-1071,Carpet Area,Ready To Move,HSR Layout,South,Hot,Independent House,2,Brigade,1172,2,1,Fully Furnished,East,0-1 years,3.6,0,0,0,1,0,0,1,Tanker,Bommanahalli,1.2,140718,492513,9,28,2,0,1,Veg Only,70359
BLR-XPND-1072,Super built-up Area,Ready To Move,Bannerghatta Road,South,Normal,Apartment,2,Brigade,1414,3,0,Semi-Furnished,West,1-5 years,11.5,1,0,1,1,0,1,0,Cauvery + Borewell,Gottigere,1.5,87358,349432,2,59,1,1,1,Veg Only,43679
BLR-XPND-1073,Carpet Area,01-Apr,Kanakapura Road,South,Normal,Apartment,2,Brigade,1098,3,3,Fully Furnished,South,5-10 years,0.8,0,1,0,1,1,1,1,Tanker,Silk Institute,1.0,71710,215130,4,14,2,1,1,Any,35855
BLR-XPND-1074,Super built-up Area,Ready To Move,Koramangala,South,Hot,Apartment,1,Mantri,753,1,3,Unfurnished,South,5-10 years,6.3,1,0,0,1,0,0,0,Tanker,BTM Layout,2.5,62382,218337,4,39,1,0,1,Any,31191
BLR-XPND-1075,Built-up Area,Ready To Move,Rajajinagar,West,Normal,Apartment,2,Sobha,1562,3,0,Semi-Furnished,East,5-10 years,8.0,0,1,1,1,0,0,0,Tanker,Rajajinagar,0.4,108072,486324,4,39,1,1,1,Any,54036
BLR-XPND-1076,Built-up Area,17-Mar,Yelahanka,North,Cold,Apartment,4,Sobha,2612,4,3,Unfurnished,East,0-1 years,9.2,0,0,0,1,0,0,0,Borewell + Tanker,Nagasandra,10.0,128150,576675,1,45,1,1,1,Any,64075
BLR-XPND-1077,Carpet Area,Ready To Move,Rajajinagar,West,Normal,Builder Floor,2,Sobha,1388,3,1,Unfurnished,North,10+ years,10.5,0,1,0,1,0,0,0,Borewell,Rajajinagar,0.4,90926,227315,4,53,3,1,1,Veg Only,45463
BLR-XPND-1078,Built-up Area,Ready To Move,Rajajinagar,West,Normal,Apartment,2,Brigade,1332,2,3,Unfurnished,North-East,5-10 years,7.5,1,0,0,1,0,0,0,Tanker,Rajajinagar,0.4,85742,257226,5,38,2,1,1,Any,42871
BLR-XPND-1079,Carpet Area,Ready To Move,Ulsoor,Central,Hot,Builder Floor,2,Brigade,1500,2,2,Semi-Furnished,East,0-1 years,12.2,0,1,0,1,0,1,0,Tanker,Ulsoor,0.4,151730,606920,10,57,1,1,1,Veg Only,75865
BLR-XPND-1080,Built-up Area,Ready To Move,Bannerghatta Road,South,Normal,Independent House,2,Standalone,1550,3,2,Semi-Furnished,South,0-1 years,10.9,0,1,0,1,0,0,0,Cauvery + Borewell,Gottigere,1.5,106926,320778,3,49,3,0,0,Any,53463
BLR-XPND-1081,Built-up Area,Ready To Move,Bannerghatta Road,South,Normal,Independent House,2,Prestige,1204,2,2,Fully Furnished,North,1-5 years,13.3,0,1,0,1,1,1,1,Borewell,Gottigere,1.5,86718,433590,4,60,1,1,1,Any,43359
BLR-XPND-1082,Carpet Area,Ready To Move,Indiranagar,Central,Hot,Builder Floor,2,Standalone,1108,2,2,Semi-Furnished,West,1-5 years,7.2,0,0,0,1,0,0,0,Borewell,Indiranagar,0.5,118694,415429,9,37,3,0,0,Any,59347
BLR-XPND-1083,Carpet Area,Ready To Move,Jayanagar,South,Normal,Independent House,1,Prestige,707,1,2,Unfurnished,South,10+ years,4.3,0,1,0,1,0,0,0,Borewell,Jayanagar,0.4,48508,242540,1,25,2,1,1,Veg Only,24254
BLR-XPND-1084,Built-up Area,Ready To Move,Electronic City,South,Normal,Apartment,3,Unknown,1860,4,0,Semi-Furnished,South-East,5-10 years,7.1,0,0,0,1,0,0,1,Cauvery + Borewell,Electronic City,0.5,89266,401697,2,42,2,1,1,Any,44633
BLR-XPND-1085,Built-up Area,Ready To Move,Banaswadi,East,Normal,Apartment,3,Prestige,1878,3,0,Semi-Furnished,North-East,0-1 years,2.2,1,1,0,1,0,0,0,Borewell + Tanker,Baiyappanahalli,3.0,118876,534942,4,24,2,1,1,Any,59438
BLR-XPND-1086,Built-up Area,Ready To Move,Kanakapura Road,South,Normal,Independent House,1,Sobha,712,1,0,Semi-Furnished,North,10+ years,10.7,0,1,0,1,0,0,0,Cauvery + Borewell,Silk Institute,1.0,37486,131201,3,55,1,0,1,Any,18743
BLR-XPND-1087,Carpet Area,Ready To Move,MG Road,Central,Hot,Builder Floor,3,Mantri,2145,3,3,Semi-Furnished,North,1-5 years,11.1,0,1,0,1,0,0,0,Borewell + Tanker,MG Road,0.2,284440,1422200,5,52,1,0,1,Any,142220
BLR-XPND-1088,Built-up Area,Ready To Move,Vijayanagar,West,Normal,Apartment,2,Mantri,1234,3,2,Fully Furnished,North,0-1 years,1.0,0,0,1,1,1,0,1,Cauvery,Vijayanagar,0.3,105050,262625,5,18,1,1,1,Any,52525
BLR-XPND-1089,Super built-up Area,Ready To Move,Malleshwaram,West,Normal,Builder Floor,2,Brigade,1056,3,2,Semi-Furnished,North-East,5-10 years,4.5,0,1,0,1,1,1,0,Cauvery + Borewell,Mantri Square,0.5,73800,295200,3,31,3,0,1,Veg Only,36900
BLR-XPND-1090,Super built-up Area,Ready To Move,Anekal,South,Cold,Apartment,3,Brigade,2304,3,3,Unfurnished,North-East,10+ years,8.7,0,0,0,0,0,0,0,Cauvery + Borewell,None,15.0,45564,159474,1,45,1,1,1,Veg Only,22782
BLR-XPND-1091,Super built-up Area,Ready To Move,Anekal,South,Cold,Builder Floor,1,Standalone,730,1,0,Unfurnished,West,0-1 years,3.5,0,0,0,0,0,0,0,Borewell,None,15.0,16976,84880,4,24,2,0,0,Any,8488
BLR-XPND-1092,Super built-up Area,Ready To Move,Bannerghatta Road,South,Normal,Independent House,4,Prestige,2416,4,1,Semi-Furnished,North-East,5-10 years,13.8,0,1,0,1,0,1,0,Cauvery + Borewell,Gottigere,1.5,143224,716120,3,65,2,1,0,Any,71612
BLR-XPND-1093,Built-up Area,Ready To Move,Electronic City,South,Normal,Apartment,2,Sobha,1598,2,3,Semi-Furnished,North-East,1-5 years,2.9,1,1,0,1,0,1,1,Cauvery + Borewell,Electronic City,0.5,82012,369054,4,21,1,1,1,Any,41006
BLR-XPND-1094,Super built-up Area,03-May,Vijayanagar,West,Normal,Apartment,4,Unknown,2120,4,0,Unfurnished,South,1-5 years,1.4,1,1,1,1,0,0,0,Cauvery + Borewell,Vijayanagar,0.3,132672,331680,3,20,2,1,1,Any,66336
BLR-XPND-1095,Built-up Area,Ready To Move,Vijayanagar,West,Normal,Apartment,2,Unknown,1016,2,2,Semi-Furnished,South-East,10+ years,4.4,0,1,0,1,0,0,0,Tanker,Vijayanagar,0.3,61788,247152,3,28,1,1,1,Any,30894
BLR-XPND-1096,Carpet Area,Ready To Move,Malleshwaram,West,Normal,Builder Floor,4,Prestige,2460,5,0,Semi-Furnished,North,10+ years,7.7,0,1,0,1,0,0,0,Borewell,Mantri Square,0.5,179382,448455,1,41,3,1,1,Veg Only,89691
BLR-XPND-1097,Carpet Area,05-May,Malleshwaram,West,Normal,Builder Floor,2,Brigade,1580,2,0,Fully Furnished,North-East,0-1 years,14.0,0,1,0,1,1,0,1,Borewell,Mantri Square,0.5,163258,816290,4,65,1,0,1,Veg Only,81629
BLR-XPND-1098,Built-up Area,Ready To Move,Yelahanka,North,Cold,Builder Floor,3,Unknown,1713,3,0,Unfurnished,West,1-5 years,6.3,0,0,0,1,0,0,0,Borewell + Tanker,Nagasandra,10.0,74998,224994,5,35,1,1,1,Veg Only,37499
BLR-XPND-1099,Super built-up Area,16-Mar,Yelahanka,North,Cold,Independent House,2,Mantri,1598,2,0,Semi-Furnished,North,5-10 years,0.6,0,1,0,1,0,0,0,Borewell,Nagasandra,10.0,67514,168785,1,11,2,1,1,Veg Only,33757
BLR-XPND-1100,Built-up Area,Ready To Move,Kanakapura Road,South,Normal,Apartment,2,Brigade,1524,2,0,Semi-Furnished,East,10+ years,8.1,1,0,1,1,0,0,1,Borewell,Silk Institute,1.0,77806,272321,5,47,2,1,1,Veg Only,38903
BLR-XPND-1101,Carpet Area,Ready To Move,Bannerghatta Road,South,Normal,Independent House,1,Sobha,585,1,3,Semi-Furnished,South,10+ years,12.7,0,1,0,1,0,0,0,Cauvery + Borewell,Gottigere,1.5,34516,172580,3,61,2,1,0,Any,17258
